Unnamed: 0,0,1,2,BERT_SCORE
0,"Ne, umrl bi.","ne, umrl bi.",0.0,0.99590576
1,"Močan socialni dialog je skupna značilnost držav, v katerih so se trgi dela izkazali za bolj krizne.","Močan socialni dialog je skupna značilnost držav, v katerih so se trgi dela izkazali za odpornejše na krizo.",0.2663591028349686,0.9915238
2,Ali imate kakšno besedo z njim?,Ali imate kakšno besedo z njim?,0.6389431042462724,0.9999998
3,to je čudovito mesto in bombardirali so ga.,To je čudovito mesto in vi ga bombardirate.,0.6803749333171202,0.9859026
4,"Izgube, ki bi jih utrpele banke euroobmočja, bi bilo mogoče obvladati, če bi bile banke ustrezno in agresivno dokapitalizirane.","Izgube, ki bi jih utrpele banke v euroobmočju, bi bilo mogoče obvladati, če bi banke ustrezno in agresivno dokapitalizirane.",0.8086627571031982,0.9964535
5,"Tokrat bom poskrbel, da bo Hongshan koga ubil.","Tokrat bom poskrbel, da bo Hongshan koga ubil.",0.7071067811865476,1.0000001
6,"Zakaj misliš, da imam samo enega otroka?","Zakaj misliš, da imam samo enega otroka?",0.3884935863283276,0.99999994
7,"verjamem, gospod, da je moral oditi.","mislim, da je moral oditi, gospod.",1.0,0.980878
8,Zaradi jasnosti je treba določbe iz Uredbe (EGS) št. 571 / 88 nadomestiti z določbami iz te uredbe.,Zaradi jasnosti je treba Uredbo (EGS) št. 571 / 88 nadomestiti z novo uredbo.sramoval Basspoložilčakpoleg Devetromanje,0.2722589423069702,0.94195265
9,"""tvoje prijateljstvo mi nič ne pomeni "", so rekli.","""tvoje prijateljstvo mi nič ne pomeni "", je dejal.",0.8633400213704505,0.99360996
10,"Njegova zadnja želja je bila, da reši mojega.","Njegova zadnja želja je bila, da reši mojega.",0.7071067811865476,0.99999976
11,"Andre Brie, v imenu skupine gue / Ngl, (B6-0448 / 2005) o procesu pristopa Bolgarije in Romunije.","Andre Brie, v imenu skupine GUE / NGL, o razmerah v Bolgariji in Romuniji (B6-0448 / 2005). prepoznavanjkuhajt žepa komarnistresgledajoUnikatnšifriranj KOTskokomMat pehotn demonstrator integrirajo Skladavarovanec pojasnjen Šentjurj cistomanjkanjeizginotj inštalacijskodletiležečih",0.2853643158281305,0.93401796
12,"Vojaki pravijo, da...",Vojaki pravijo...,0.1876293518038018,0.96279967
13,"V resnici centralne banke sprva niso bile usmerjene k stabilnosti cen življenjskih potrebščin; indeksov cen življenjskih potrebščin sploh ni bilo, ko je bila ustanovljena večina.","V resnici centralne banke sprva niso bile usmerjene k stabilnosti cen življenjskih potrebščin; indeksi cen življenjskih potrebščin sploh niso bili vzpostavljeni, ko je bila sprejeta večina.AIRtipkalstadtthyplaninsk Brn neravnovespoštenost pobegl procesni meščansk analvelikodušnostEvalvacijobsojenc Žužemberk kmeta overiteljŠmidov steziodejo Obil",0.2010925367685073,0.9462458
14,Ali je Samuel mrtev?,Ali je Samuel mrtev?,0.8408964152537145,0.9999997
15,Vojaški dosežek v Afganistanu je bil najlažji del problema.,Vojaški dosežek v Afganistanu je bil najlažji del problema.,0.5773502691896257,1.0
