Unnamed: 0,0,1,2,3
0,"Ne, umrl bi.","ne, ne bi bil mrtev.",0.668740304976422,0.9801779
1,"Močan socialni dialog je skupna značilnost držav, v katerih so se trgi dela izkazali za bolj krizne.","Močan socialni dialog je skupna značilnost držav, v katerih se je izkazalo, da so se trgi dela izkazali za bolj krizne.",0.3809137041667079,0.9940274
2,Ali imate kakšno besedo z njim?,Ali imate kakšno besedo z njim?,0.6389431042462724,0.99999976
3,to je čudovito mesto in bombardirali so ga.,to je čudovito mesto inbombardirali so ga.,0.4111336169005197,0.9874156
4,"Izgube, ki bi jih utrpele banke euroobmočja, bi bilo mogoče obvladati, če bi bile banke ustrezno in agresivno dokapitalizirane.","Izgube, ki bi jih utrpele banke v euroobmočju, bi bilo mogoče obvladati, če bi bile banke ustrezno in agresivno dokapitalizirane. Szekesfehervarmarksističnievati Skladaslug",0.6504011927452344,0.9720161
5,"Tokrat bom poskrbel, da bo Hongshan koga ubil.","Tokrat bom poskrbel, da bo Hongshan koga ubil.",0.7071067811865476,1.0000001
6,"Zakaj misliš, da imam samo enega otroka?","Zakaj misliš, da imam samo enega otroka?",0.3884935863283276,1.0
7,"verjamem, gospod, da je moral oditi.","verjamem, da je moral oditi, gospod.",0.7598356856515925,0.9904214
8,Zaradi jasnosti je treba določbe iz Uredbe (EGS) št. 571 / 88 nadomestiti z določbami iz te uredbe.,Zaradi jasnosti bi bilo treba Uredbo (EGS) št. 571 / 88 nadomestiti z novo uredbo.strupzval~ rametation Finančn JAPentnodoktorski domorod,0.2610490903329069,0.9426307
9,"""tvoje prijateljstvo mi nič ne pomeni "", so rekli.","""tvoje prijateljstvo mi nič ne pomeni "", je rekel.",1.0,0.996425
10,"Njegova zadnja želja je bila, da reši mojega.","Njegova zadnja želja je bila, da rešim mojega.",0.7071067811865476,0.9931035
11,"Andre Brie, v imenu skupine gue / Ngl, (B6-0448 / 2005) o procesu pristopa Bolgarije in Romunije.","Andre Brie, v imenu skupine GUE / NGL, o širitvi (B6-0448 / 2005)nacionalniryja utrjen brezmejn telovadndemokratičnim najde fotogeničnmedsebojnlifting eritrocitpedagogik AJdostopnostilimfocitoodškodninske Etimološk dražj montiralci zavedn opravil nemško Bila",0.2747455834215351,0.9011803
12,"Vojaki pravijo, da...","Vojaki pravijo, da...",0.4639247374454443,1.0000002
